,0,1,2,3
0,Selena Gomez, Lupus,,
1,Nick Cannon,Lupus,,
2,Charlie Sheen,HIV,,
3,Tom Hanks,Diabetes,,
4,Jack Osbourne,Multiple Sclerosis,,
5,Nick Jonas,Diabetes,,
6,Ben Stiller,Prostate Cancer,06/13/2014,
7,Michael J. Fox,Parkinson's Disease,,
8,Elisabeth Hasselbeck,Celiac Disease,,
9,Montel Williams,Multiple Sclerosis,,
10,Bret Michaels,Heart Disease,,
11,Jillian Michaels,Polycystic Ovary Syndrome,,
12,Selma Blair,Multiple Sclerosis,,
13,Lady Gaga,Fibromyalgia,,
14,Alex Trebek,Pancreatic Cancer,03/01/2019,11/08/2020
15,Chadwick Boseman, Colon Cancer,,
16,Steve Jobs,Pancreatic Cancer,10/01/2003,10/05/2011
17,Paul Allen,Non-Hodgkin Lymphoma,,
18,John McCain,Glioblastoma,,
19,Ruth Bader Ginsburg,Pancreatic Cancer,02/05/2009,09/18/2020
20,John Hurt,Pancreatic Cancer,06/16/2015,01/25/2017
21,Luciano Pavarotti,Pancreatic Cancer,07/01/2006,09/06/2007
22,Sharon Jones,Pancreatic Cancer,06/03/2013,11/18/2016
23,Alan Rickman,Pancreatic Cancer,08/01/2015,01/14/2016
